Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-04-20 09:15:00+05:30,1362.800048828125,1364.699951171875,1352.9000244140625,1364.199951171875,542137,0.0,0.0
2026-04-20 09:30:00+05:30,1364.199951171875,1365.0,1357.5,1357.9000244140625,619516,0.0,0.0
2026-04-20 09:45:00+05:30,1358.5999755859375,1360.199951171875,1355.699951171875,1359.4000244140625,547608,0.0,0.0
2026-04-20 10:00:00+05:30,1359.5,1360.800048828125,1358.300048828125,1360.800048828125,131141,0.0,0.0
2026-04-20 15:00:00+05:30,1365.0,1365.0,1363.0999755859375,1364.0,9996455,0.0,0.0
2026-04-20 15:15:00+05:30,1363.9000244140625,1364.699951171875,1360.0999755859375,1362.9000244140625,1179225,0.0,0.0
2026-04-21 09:15:00+05:30,1360.800048828125,1367.699951171875,1360.800048828125,1361.5,316210,0.0,0.0
2026-04-21 09:30:00+05:30,1361.199951171875,1362.0,1359.0,1360.5999755859375,551699,0.0,0.0
2026-04-21 09:45:00+05:30,1360.5999755859375,1363.199951171875,1360.5999755859375,1362.0,536282,0.0,0.0
2026-04-21 10:00:00+05:30,1362.0,1364.5999755859375,1361.800048828125,1363.300048828125,466250,0.0,0.0
2026-04-21 10:15:00+05:30,1363.300048828125,1364.0,1360.4000244140625,1361.0999755859375,457392,0.0,0.0
2026-04-21 10:30:00+05:30,1361.5,1363.0,1360.4000244140625,1362.5,394065,0.0,0.0
2026-04-21 10:45:00+05:30,1362.5,1367.199951171875,1361.0,1367.199951171875,717410,0.0,0.0
2026-04-21 11:00:00+05:30,1367.300048828125,1369.800048828125,1365.800048828125,1366.800048828125,732778,0.0,0.0
2026-04-21 11:15:00+05:30,1367.0,1367.0,1361.199951171875,1361.5999755859375,459560,0.0,0.0
2026-04-21 11:30:00+05:30,1361.5999755859375,1361.5999755859375,1357.5999755859375,1360.5999755859375,964293,0.0,0.0
2026-04-21 11:45:00+05:30,1360.4000244140625,1362.699951171875,1358.199951171875,1360.0,637058,0.0,0.0
2026-04-21 12:00:00+05:30,1360.0,1363.300048828125,1358.5,1359.199951171875,755902,0.0,0.0
2026-04-21 12:15:00+05:30,1359.300048828125,1359.9000244140625,1357.0,1357.199951171875,792426,0.0,0.0
2026-04-21 12:30:00+05:30,1357.199951171875,1359.0,1355.5999755859375,1356.5999755859375,1179939,0.0,0.0
2026-04-21 12:45:00+05:30,1356.699951171875,1357.699951171875,1355.0999755859375,1356.9000244140625,827321,0.0,0.0
2026-04-21 13:00:00+05:30,1356.9000244140625,1357.300048828125,1354.300048828125,1354.800048828125,1452092,0.0,0.0
2026-04-21 13:15:00+05:30,1354.9000244140625,1356.199951171875,1352.4000244140625,1355.199951171875,1049117,0.0,0.0
2026-04-21 13:30:00+05:30,1355.300048828125,1356.800048828125,1353.0,1353.0999755859375,889416,0.0,0.0
2026-04-21 13:45:00+05:30,1353.5,1355.0,1352.300048828125,1353.699951171875,962138,0.0,0.0
2026-04-21 14:00:00+05:30,1353.9000244140625,1354.4000244140625,1351.300048828125,1352.0999755859375,1336310,0.0,0.0
